time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-02 00:00:00+00:00,859,119,386,56
2026-09-03 00:00:00+00:00,926,128,523,47
2026-09-04 00:00:00+00:00,1222,172,400,46
2026-09-05 00:00:00+00:00,15908,300,412,25
2026-09-06 00:00:00+00:00,1014,142,327,43
2026-09-07 00:00:00+00:00,1801,202,423,56
2026-09-08 00:00:00+00:00,770,135,337,44
2026-09-09 00:00:00+00:00,571,72,327,57
2026-09-10 00:00:00+00:00,1259,176,287,41
2026-09-11 00:00:00+00:00,21581,249,245,44
2026-09-12 00:00:00+00:00,1197,181,160,66
2026-09-13 00:00:00+00:00,921,179,155,57
2026-09-14 00:00:00+00:00,1805,255,345,105
2026-09-15 00:00:00+00:00,41401,360,469,99
