time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-02 00:00:00+00:00,249,25,181,16
2025-03-03 00:00:00+00:00,414,64,221,25
2025-03-04 00:00:00+00:00,468,134,424,48
2025-03-05 00:00:00+00:00,325,71,327,38
2025-03-06 00:00:00+00:00,267,61,264,35
2025-03-07 00:00:00+00:00,491,54,152,30
2025-03-08 00:00:00+00:00,360,31,164,17
2025-03-09 00:00:00+00:00,194,26,85,18
2025-03-10 00:00:00+00:00,79,24,173,29
2025-03-11 00:00:00+00:00,163,30,172,31
2025-03-12 00:00:00+00:00,131,28,191,28
2025-03-13 00:00:00+00:00,214,36,283,42
2025-03-14 00:00:00+00:00,197,38,240,38
2025-03-15 00:00:00+00:00,268,23,200,15
