time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-24 00:00:00+00:00,738,109,625,36
2025-10-25 00:00:00+00:00,647,93,199,30
2025-10-26 00:00:00+00:00,401,84,72,24
2025-10-27 00:00:00+00:00,904,150,620,46
2025-10-28 00:00:00+00:00,582,114,872,50
2025-10-29 00:00:00+00:00,851,137,569,42
2025-10-30 00:00:00+00:00,391,73,366,47
2025-10-31 00:00:00+00:00,618,103,1122,67
2025-11-01 00:00:00+00:00,609,95,712,39
2025-11-02 00:00:00+00:00,255,60,359,36
2025-11-03 00:00:00+00:00,607,96,585,56
2025-11-04 00:00:00+00:00,597,99,639,54
2025-11-05 00:00:00+00:00,795,115,764,59
2025-11-06 00:00:00+00:00,630,98,611,45
