time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-10 00:00:00+00:00,406,85,456,52
2025-09-11 00:00:00+00:00,485,110,788,50
2025-09-12 00:00:00+00:00,1047,146,676,37
2025-09-13 00:00:00+00:00,663,91,177,18
2025-09-14 00:00:00+00:00,367,86,238,16
2025-09-15 00:00:00+00:00,361,90,418,31
2025-09-16 00:00:00+00:00,1797,130,269,36
2025-09-17 00:00:00+00:00,581,121,267,48
2025-09-18 00:00:00+00:00,671,126,249,31
2025-09-19 00:00:00+00:00,563,114,252,27
2025-09-20 00:00:00+00:00,627,145,365,25
2025-09-21 00:00:00+00:00,95,32,104,20
2025-09-22 00:00:00+00:00,470,96,313,29
2025-09-23 00:00:00+00:00,220,57,218,36
