time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-18 00:00:00+00:00,635,82,237,24
2025-10-19 00:00:00+00:00,533,62,192,25
2025-10-20 00:00:00+00:00,452,89,389,44
2025-10-21 00:00:00+00:00,725,122,504,61
2025-10-22 00:00:00+00:00,547,89,451,76
2025-10-23 00:00:00+00:00,542,90,550,35
2025-10-24 00:00:00+00:00,738,109,625,36
2025-10-25 00:00:00+00:00,647,93,199,30
2025-10-26 00:00:00+00:00,401,84,72,24
2025-10-27 00:00:00+00:00,904,150,620,46
2025-10-28 00:00:00+00:00,582,114,872,50
2025-10-29 00:00:00+00:00,851,137,569,42
2025-10-30 00:00:00+00:00,391,73,366,47
2025-10-31 00:00:00+00:00,566,99,995,65
