time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-29 00:00:00+00:00,203,45,275,22
2025-06-30 00:00:00+00:00,976,61,220,31
2025-07-01 00:00:00+00:00,521,84,595,43
2025-07-02 00:00:00+00:00,559,93,417,34
2025-07-03 00:00:00+00:00,524,101,571,36
2025-07-04 00:00:00+00:00,683,100,512,22
2025-07-05 00:00:00+00:00,466,66,259,17
2025-07-06 00:00:00+00:00,359,62,131,13
2025-07-07 00:00:00+00:00,242,58,233,36
2025-07-08 00:00:00+00:00,138,27,173,28
2025-07-09 00:00:00+00:00,803,101,437,31
2025-07-10 00:00:00+00:00,210,51,184,34
2025-07-11 00:00:00+00:00,475,72,389,34
2025-07-12 00:00:00+00:00,284,50,219,13
