time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-21 00:00:00+00:00,34,6,170,23
2025-01-22 00:00:00+00:00,103,13,178,23
2025-01-23 00:00:00+00:00,59,8,389,19
2025-01-24 00:00:00+00:00,43,6,147,15
2025-01-25 00:00:00+00:00,4,4,49,7
2025-01-26 00:00:00+00:00,2,2,51,21
2025-01-27 00:00:00+00:00,10,4,42,19
2025-01-28 00:00:00+00:00,17,7,89,16
2025-01-29 00:00:00+00:00,4,4,68,16
2025-01-30 00:00:00+00:00,39,9,178,22
2025-01-31 00:00:00+00:00,132,29,233,26
2025-02-01 00:00:00+00:00,264,44,215,15
2025-02-02 00:00:00+00:00,74,18,150,19
2025-02-03 00:00:00+00:00,79,19,106,25
